"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5132","test_logout_user","tests","Sun Jul 13 14:56:12 EEST 2025","passed","Sun Jul 13 14:56:17 EEST 2025","","test_register_user","",""
"","7180","test_logout_user[chromium]","tests","Sun Jul 13 14:48:59 EEST 2025","passed","Sun Jul 13 14:49:06 EEST 2025","","test_register_user","",""
"","0","test_signup_with_existing_email[chromium]","tests","Sun Jul 13 14:48:52 EEST 2025","broken","Sun Jul 13 14:48:52 EEST 2025","","test_register_user","",""
"","10655","test_register_user[chromium]","tests","Sun Jul 13 14:48:41 EEST 2025","passed","Sun Jul 13 14:48:52 EEST 2025","","test_register_user","",""
"","8743","test_register_user","tests","Sun Jul 13 14:55:07 EEST 2025","passed","Sun Jul 13 14:55:16 EEST 2025","","test_register_user","",""
"","2797","test_signup_with_existing_email","tests","Sun Jul 13 14:56:24 EEST 2025","passed","Sun Jul 13 14:56:27 EEST 2025","","test_register_user","",""
"","626","test_login_with_incorrect_credentials[chromium]","tests","Sun Jul 13 14:48:41 EEST 2025","broken","Sun Jul 13 14:48:41 EEST 2025","","test_register_user","",""
"","9967","Test Case 2: Login with valid credentials","tests","Sun Jul 13 14:00:24 EEST 2025","failed","Sun Jul 13 14:00:34 EEST 2025","","test_auth","",""
"","31954","test_login_with_correct_credentials","tests","Sun Jul 13 14:55:25 EEST 2025","broken","Sun Jul 13 14:55:57 EEST 2025","","test_register_user","",""
"","4809","test_login_with_incorrect_credentials","tests","Sun Jul 13 14:56:00 EEST 2025","passed","Sun Jul 13 14:56:05 EEST 2025","","test_register_user","",""
"","5944","Test Case 3: Login with invalid credentials","tests","Sun Jul 13 14:00:35 EEST 2025","passed","Sun Jul 13 14:00:41 EEST 2025","","test_auth","",""
"","8022","test_login_with_correct_credentials[chromium]","tests","Sun Jul 13 14:48:58 EEST 2025","passed","Sun Jul 13 14:49:06 EEST 2025","","test_register_user","",""
