"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3836","test_logout_user","tests","Sun Jul 13 21:58:25 UTC 2025","passed","Sun Jul 13 21:58:29 UTC 2025","","test_auth_flow","",""
"","2019","test_search_product","tests","Sun Jul 13 22:01:26 UTC 2025","passed","Sun Jul 13 22:01:28 UTC 2025","","test_products_cart_flow","",""
"","2470","test_scroll_up_manual_scroll","tests","Sun Jul 13 22:03:15 UTC 2025","broken","Sun Jul 13 22:03:18 UTC 2025","","test_ui_scroll","",""
"","2009","test_view_category_products","tests","Sun Jul 13 21:58:39 UTC 2025","passed","Sun Jul 13 21:58:41 UTC 2025","","test_categories_brands","",""
"","31779","test_verify_product_quantity","tests","Sun Jul 13 22:02:05 UTC 2025","broken","Sun Jul 13 22:02:37 UTC 2025","","test_products_cart_flow","",""
"","32710","test_place_order_register_during_checkout","tests","Sun Jul 13 21:59:19 UTC 2025","broken","Sun Jul 13 21:59:52 UTC 2025","","test_checkout_flow","",""
"","15991","test_place_order_login_before_checkout","tests","Sun Jul 13 22:00:11 UTC 2025","broken","Sun Jul 13 22:00:27 UTC 2025","","test_checkout_flow","",""
"","1331","test_subscription_on_home","tests","Sun Jul 13 22:01:28 UTC 2025","passed","Sun Jul 13 22:01:30 UTC 2025","","test_products_cart_flow","",""
"","3346","test_remove_products_from_cart","tests","Sun Jul 13 21:58:35 UTC 2025","passed","Sun Jul 13 21:58:38 UTC 2025","","test_categories_brands","",""
"","1594","test_verify_test_cases_page","tests","Sun Jul 13 22:01:21 UTC 2025","passed","Sun Jul 13 22:01:23 UTC 2025","","test_products_cart_flow","",""
"","32143","test_add_products_to_cart","tests","Sun Jul 13 22:01:32 UTC 2025","broken","Sun Jul 13 22:02:04 UTC 2025","","test_products_cart_flow","",""
"","3537","test_login_user_correct","tests","Sun Jul 13 21:58:14 UTC 2025","passed","Sun Jul 13 21:58:17 UTC 2025","","test_auth_flow","",""
"","7276","test_verify_address_details_in_checkout","tests","Sun Jul 13 22:00:31 UTC 2025","failed","Sun Jul 13 22:00:38 UTC 2025","","test_checkout_flow","",""
"","2339","test_view_and_cart_brand_products","tests","Sun Jul 13 21:58:41 UTC 2025","passed","Sun Jul 13 21:58:44 UTC 2025","","test_categories_brands","",""
"","1726","test_subscription_on_cart","tests","Sun Jul 13 22:01:30 UTC 2025","passed","Sun Jul 13 22:01:32 UTC 2025","","test_products_cart_flow","",""
"","1969","test_verify_all_products_and_details","tests","Sun Jul 13 22:01:23 UTC 2025","broken","Sun Jul 13 22:01:25 UTC 2025","","test_products_cart_flow","",""
"","8683","test_contact_us_form","tests","Sun Jul 13 22:01:12 UTC 2025","failed","Sun Jul 13 22:01:21 UTC 2025","","test_contact_form","",""
"","2996","test_login_user_incorrect","tests","Sun Jul 13 21:58:18 UTC 2025","passed","Sun Jul 13 21:58:21 UTC 2025","","test_auth_flow","",""
"","2419","test_scroll_up_using_arrow_button","tests","Sun Jul 13 22:03:12 UTC 2025","broken","Sun Jul 13 22:03:15 UTC 2025","","test_ui_scroll","",""
"","11905","test_place_order_after_registration","tests","Sun Jul 13 21:59:56 UTC 2025","broken","Sun Jul 13 22:00:08 UTC 2025","","test_checkout_flow","",""
"","32609","test_download_invoice_after_order","tests","Sun Jul 13 22:00:39 UTC 2025","broken","Sun Jul 13 22:01:12 UTC 2025","","test_checkout_flow","",""
"","1774","test_add_to_cart_from_recommended_items","tests","Sun Jul 13 22:03:10 UTC 2025","passed","Sun Jul 13 22:03:12 UTC 2025","","test_products_cart_flow","",""
"","5182","test_register_user","tests","Sun Jul 13 21:58:04 UTC 2025","passed","Sun Jul 13 21:58:09 UTC 2025","","test_auth_flow","",""
"","32025","test_add_review_on_product","tests","Sun Jul 13 22:02:37 UTC 2025","broken","Sun Jul 13 22:03:09 UTC 2025","","test_products_cart_flow","",""
"","2424","test_register_existing_email","tests","Sun Jul 13 21:58:32 UTC 2025","passed","Sun Jul 13 21:58:34 UTC 2025","","test_auth_flow","",""
"","31729","test_cart_after_login","tests","Sun Jul 13 21:58:47 UTC 2025","broken","Sun Jul 13 21:59:19 UTC 2025","","test_categories_brands","",""
